NombreProducto;PrecioUnitario;CantidadVendida
Chromecast Google;150000;63
Hub USB 4 Puertos;85000;50
Ring Video Doorbell;650000;38
MacBook Pro 13'';4500000;38
Auriculares Gaming Razer;380000;37
Lámpara LED RGB;120000;35
Cable HDMI 2m;25000;33
Smart TV LG 55'';2100000;32
Cooler para Laptop;95000;24
Ventilador USB;45000;20
Soporte para Laptop;150000;20
GoPro Hero 12;1600000;20
Google Nest Hub;380000;19
Silla Gaming Corsair;850000;19
iPhone 15;3200000;19
Nintendo Switch;1400000;19
Adaptador USB-C;35000;18
AirPods Pro;680000;18
Protector Surge;85000;17
Cargador Portátil Anker;120000;16
Impresora HP LaserJet;650000;15
Disco Duro Externo 1TB;320000;15
Base Refrigerante;130000;14
Monitor Samsung 24'';800000;14
Teclado Mecánico Corsair;350000;13
UPS APC 600VA;320000;12
Router WiFi TP-Link;200000;12
Fitbit Charge 5;450000;11
Kindle Paperwhite;480000;11
Antena WiFi USB;65000;10
Echo Dot Amazon;180000;9
Parlante Bluetooth JBL;280000;8
SSD Kingston 500GB;380000;7
Drone DJI Mini;1800000;7
Mouse Logitech MX;180000;6
Auriculares Sony WH;450000;6
Memoria USB 64GB;45000;3
